equator,outer_throat,inner_throat,upper
-0.5427193945321314,-0.44278402501110653,-0.12077838724958667,-0.7029077546783016
0.3720857687497512,0.8145256139392836,0.43859371631988,-0.07091763147786984
-0.4490593953833745,-0.08782623231553331,0.08871810519578463,-0.8840083695896882
-0.20837510582276147,0.3275036851661949,0.2691018343049486,-0.8803536230108138
0.45930403792368824,0.7807738619892531,0.38513578365077955,0.17323545084325742
-0.5272833744340188,-0.2844017281638244,0.00705325530228465,-0.7987495109503087
-0.37361783536588955,0.11594078407647573,0.23176036029398098,-0.8888508492519209
-0.5486214612008276,-0.5296459244822864,-0.17636651570800171,-0.6154901381456117
0.5252490832627392,0.7696187955279518,0.28870238930489356,0.2192522927877456
0.37894880815111576,0.8208608820502856,0.3730935889713577,-0.18706516829990094
