NevinsA,NevinsC,NevinsN,beta_pol1_setpoint,psieq_dc,psieq_soak,CurrentRatio,NevinsY
0.5126466782192226,0.3228287105654043,3.033801104126676,0.2440660291185886,0.0078229656184874,0.0057198400866017,0.2206551294858195,4.460341551551393
0.5884513344683014,0.3028981859915721,2.485905156390952,0.2182477101826371,0.0078516274880807,0.0073298211742328,0.1625654391563842,4.294382574128815
1.1386482581502309,0.5234153120828218,31.81686847752396,0.2141203357484809,0.0059636383981108,0.0052816901728815,0.497531984675944,403.2276714866021
0.5065911138846313,0.3185111553857343,2.758780361875292,0.2054888136345226,0.0080661472058133,0.0102088767601777,0.2491323521764562,4.121472037367063
1.336973524909781,0.5283599144435263,34.848293550989766,0.010746770136984,0.0247292346134535,0.0597620867080596,0.145087466917754,1459.4451526971657
0.7780142975785783,0.4339063440666008,44.25967718585448,0.1178956016615157,0.0189891342740901,0.0308588043112962,0.1417363721574648,326827.8184643452
0.7780142975785783,0.4339063440666008,44.25967718585448,0.1178956016615157,0.0189891342740901,0.0308588043112962,0.1417363721574648,326827.8184643452
0.6618309145533884,0.2828935385856614,2.107281805289877,0.2433536372545441,0.0080133555372653,0.0075636872620213,0.166559814156789,4.3042262649109695
0.5369808916188334,0.3685126155741703,10.60778930288821,0.1811762502704756,0.0076384896345573,0.0107828518414462,0.4114747011142577,50.74361325922263
0.6866903097684244,0.4337817419798577,71.47993681544159,0.2260994788875827,0.0074457010235644,0.0104872971063574,0.4445004250367291,383006812.8700143
0.6683195640007258,0.4174697208674958,88.19941891508091,0.069232318975405,0.0268848722445903,0.0839630182415074,0.973974650640188,582518417625.3994
0.6866903097684244,0.4337817419798577,71.47993681544159,0.2260994788875827,0.0074457010235644,0.0104872971063574,0.4445004250367291,383006812.8700143
0.7236088808041726,0.420657355551618,74.60434552230419,0.0544488452854178,0.0326358967850234,0.0899435831836064,0.8823936888441798,9814275384.914234
0.5335923522314676,0.3432964137335402,8.484669291868137,0.2219275664861056,0.0074366084588391,0.0054131121680297,0.1641333557334637,38.51089856422752
0.6030234114402547,0.3014582114956537,2.6127392881244966,0.1607564437311426,0.0094971828107209,0.010715038369277,0.1481074749475652,4.638419269981061
